country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Brazil,Campina Verde,37,1,6,1,37,-19.5358,-49.4858
Ghana,Cape Coast,81,1,21,0,81,5.1,-1.25
Chile,Carahue,47,1,7,7,47,-38.7089,-73.1647
Italy,Carrara,58,1,39,1,58,44.0792,10.1
Italy,Castel San Pietro Terme,54,1,36,2,54,44.4,11.5833
Italy,Cavarzere,50,1,32,4,50,45.137,12.0817
Germany,Celle,37,1,37,1,23,52.6256,10.0825
Argentina,Comodoro Rivadavia,11,0,11,1,4,-45.8647,-67.4808
United States of America,Coral Hills,60,1,41,5,60,38.8706,-76.9215
United States of America,Coralville,66,2,7,17,66,41.699,-91.5967
Mexico,Cortazar,50,1,12,4,50,20.483,-100.933
Netherlands,Cranendonck,37,1,32,3,37,51.2853,5.5881
Cuba,Cumanayagua,86,1,21,2,86,22.1522,-80.2011
Russian Federation,Abinsk,43,1,43,1,16,44.8667,38.15
Turkey,Adana,55,1,41,0,55,37.0,35.3213
El Salvador,Aguilares,146,5,0,13,146,-27.4333,-65.6167
El Salvador,Aguilares,146,5,0,13,146,13.95,-89.1833
Armenia,Alaverdi,53,1,31,0,53,41.1333,44.65
Brazil,Alegrete,27,0,12,1,27,-29.7839,-55.7911
United States of America,Aloha,33,1,19,9,33,45.492,-122.8725
China,Altay,53,0,37,0,53,47.8666,88.1166
China,Altay,53,0,37,0,53,46.3728,96.2572
United States of America,Altoona,40,1,38,3,40,40.5082,-78.4007
United States of America,Altoona,40,1,38,3,40,41.6483,-93.4783
United States of America,Altus,48,1,24,2,48,34.6565,-99.3061
France,Amboise,40,1,24,2,40,47.4114,0.9825
France,Amiens,40,1,20,3,40,49.892,2.299
Belgium,Andenne,35,1,30,3,35,50.4833,5.1
Thailand,Ang Thong,47,0,23,0,47,14.5925,100.4572
Trinidad and Tobago,Arima,63,1,22,5,63,10.6333,-61.2833
United States of America,Sherman,53,1,23,5,53,33.6273,-96.6221
India,Sijua,185,1,78,1,185,23.7692,86.1673
Denmark,Silkeborg,40,0,31,2,40,56.1833,9.5517
India,Silvassa,134,0,23,0,134,20.27,73.02
Cambodia,Sisophon,39,0,25,0,39,13.5833,102.9833
Denmark,Skanderborg,36,0,33,1,36,56.0417,9.925
Ukraine,Smila,51,1,43,0,51,49.2167,31.8667
Colombia,Socorro,56,2,3,4,56,13.0583,121.4117
Colombia,Socorro,56,2,3,4,56,-22.5908,-46.5289
Colombia,Socorro,56,2,3,4,56,31.6383,-106.2601
Colombia,Socorro,56,2,3,4,56,6.5333,-73.2
Colombia,Socorro,56,2,3,4,56,9.6181,125.9661
Colombia,Socorro,56,2,3,4,56,34.0543,-106.9065
Czechia,Sokolov,32,0,32,1,25,50.1814,12.6402
Turkey,Soma,49,1,49,1,30,39.1883,27.6089
Togo,Sotouboua,77,1,19,0,77,8.5667,0.9833
United States of America,South Valley,73,1,28,4,73,35.0093,-106.6819
United States of America,Southern Pines,61,1,33,3,61,35.1927,-79.4039
United States of America,Spartanburg,69,2,23,9,69,34.9442,-81.9251
United Kingdom of Great Britain and Northern Ireland,Stevenage,27,0,27,2,26,51.9017,-0.2019
Austria,Stockerau,38,1,30,1,38,48.3858,16.2108
Russian Federation,Strunino,31,1,31,0,29,56.3667,38.5833
Ecuador,Rosa Zarate,46,1,14,2,46,0.33,-79.48
Russian Federation,Roslavl,65,1,23,2,65,53.95,32.8833
France,Royan,38,0,38,0,19,45.6231,-1.0431
Germany,Rudersberg,29,1,29,2,27,48.8856,9.5281
Brazil,Russas,28,0,14,1,28,-4.94,-37.9758
United States of America,Saint Joseph,51,1,29,7,51,10.6556,-61.4167
Azerbaijan,Salyan,65,1,40,0,65,39.595,48.9792
Azerbaijan,Salyan,65,1,40,0,65,28.35,82.1833
Ukraine,Sambir,54,1,31,1,54,49.5167,23.2
Guatemala,San Juan Chamelco,65,2,11,5,65,15.4257,-90.3263
Sweden,Sandviken,35,0,35,0,22,60.6167,16.7833
United States of America,Sanger,56,2,10,15,56,36.699,-119.5575
United States of America,Sanger,56,2,10,15,56,33.3715,-97.1678
United States of America,Santa Fe Springs,136,4,5,34,136,33.9329,-118.0625
Brazil,Santa Gertrudes,71,2,3,6,71,-22.4569,-47.53
Brazil,Sapucaia,103,4,7,11,103,-21.995,-42.9139
United States of America,Saraland,31,1,20,5,31,30.8479,-88.1004
Chad,Sarh,81,2,10,0,81,9.15,18.3833
Hungary,Sarkad,44,1,29,2,44,46.75,21.3833
France,Sartrouville,50,1,19,4,50,48.9372,2.1644
Italy,Sassuolo,58,1,38,1,58,44.5517,10.7856
Thailand,Sattahip,34,0,17,0,34,12.6636,100.9036
Brazil,Satuba,32,0,18,1,32,-9.5628,-35.8239
Finland,Savonlinna,36,1,36,1,24,61.8681,28.8861
Germany,Schneverdingen,36,1,36,1,25,53.1167,9.8
Italy,Sedriano,34,1,34,2,20,45.4833,8.9667
Brazil,Sena Madureira,14,1,4,0,14,-9.0658,-68.6569
Serbia,Senta,54,1,33,1,54,45.9314,20.09
Croatia,Sesvete,38,1,33,1,38,45.8269,16.1111
Russian Federation,Severobaykalsk,35,1,32,0,35,55.65,109.3167
Germany,Aachen,55,1,43,1,55,50.7756,6.0836
El Salvador,Acajutla,71,2,23,3,71,13.59,-89.8336
Niger,Agadez,152,1,37,0,152,16.9959,7.9828
Ghana,Agogo,39,1,24,0,39,6.8,-1.0833
Italy,Agrigento,51,1,51,0,49,37.3167,13.5833
United States of America,Alamogordo,78,1,31,0,78,32.8837,-105.9625
India,Aland,161,2,32,3,161,17.5642,76.5685
Italy,Alatri,64,1,64,0,48,41.725,13.3417
United States of America,Aldine,30,0,26,1,30,29.9123,-95.3784
Brazil,Alenquer,16,0,11,0,16,-1.9419,-54.7378
Brazil,Alenquer,16,0,11,0,16,39.05,-9.0167
Australia,Alice Springs,52,0,18,0,52,-23.7,133.8667
United States of America,Altamont,35,1,27,1,35,42.198,-121.7248
Spain,Altea,38,1,38,0,28,38.5986,-0.0519
India,Alwar,172,4,76,6,172,27.5498,76.6355
India,Amritsar,168,4,39,9,168,31.64,74.86
,Ancona,80,1,68,0,80,43.6169,13.5167
India,Anekal,87,2,18,5,87,12.7105,77.6967
Russian Federation,Apatity,32,1,32,0,23,67.5667,33.4
Mexico,Apizaco,230,1,34,3,230,19.4167,-98.1333
Spain,Aranjuez,41,1,41,0,11,40.0333,-3.6028
United States of America,Arbutus,52,1,52,1,40,39.2428,-76.6922
Mexico,Arriaga,64,1,29,0,64,16.2361,-93.8995
Japan,Ashibetsu,53,1,26,4,53,43.5182,142.1896
Norway,Askim,42,1,42,0,13,59.5861,11.17
Chad,Ati,130,1,46,0,130,13.2133,18.3381
New Zealand,Auckland,69,0,30,0,69,-36.8406,174.74
Germany,Bad Doberan,37,1,37,0,21,54.1069,11.9053
United States of America,Sheridan,29,0,27,1,29,44.7961,-106.9642
Japan,Shimada,71,2,27,7,71,34.8363,138.1927
Russian Federation,Shumikha,34,1,34,0,20,55.2333,63.3
India,Sihora,163,4,39,5,163,23.0,80.12
Italy,Sinalunga,75,1,75,0,38,43.2167,11.7333
Italy,Siniscola,51,1,51,0,34,40.5743,9.6963
Costa Rica,Siquirres,44,1,26,0,44,10.0901,-83.5016
Spain,Sitges,52,1,52,1,50,41.2339,1.8042
Romania,Slatina,49,1,49,0,42,44.4297,24.3642
Romania,Slatina,49,1,49,0,42,45.7022,17.7011
Netherlands,Sneek,38,1,38,0,37,53.0325,5.66
Poland,Sochaczew,41,1,41,0,28,52.2333,20.2333
Mexico,Teopisca,50,1,24,0,50,16.5425,-92.4719
,Termini Imerese,57,1,48,0,57,37.9833,13.7
Canada,Thunder Bay,83,1,22,0,83,48.3822,-89.2461
Netherlands,Tiel,39,1,39,0,37,51.8833,5.4333
Brazil,Timbiras,32,0,16,0,32,-4.255,-43.9408
India,Tindivanam,106,2,33,7,106,12.2267,79.6504
United States of America,Tinley Park,55,1,35,4,55,41.567,-87.8049
Italy,Tivoli,55,1,55,0,51,41.9667,12.8
Morocco,Tiznit,52,1,40,0,52,29.7167,-9.7167
Mexico,Tlalnepantla,195,2,39,5,195,19.5367,-99.1947
Kyrgyzstan,Tokmak,54,1,25,2,54,47.2514,35.7058
France,Toulon,49,1,49,4,39,43.1258,5.9306
Japan,Toyokawa,83,2,30,6,83,34.8268,137.3759
United States of America,Trumbull,50,1,48,2,50,41.2602,-73.2083
United States of America,Tualatin,76,2,22,7,76,45.3772,-122.7748
Russian Federation,Tuapse,37,1,37,0,19,44.1044,39.0772
Costa Rica,Turrialba,38,1,26,0,38,9.8897,-83.6807
Russian Federation,Tuymazy,40,1,40,0,8,54.6,53.7
Brazil,Uberaba,32,1,24,0,32,-19.7478,-47.9319
Mongolia,Ulaangom,40,1,30,0,40,49.9833,92.0667
United States of America,University Heights,55,1,37,3,55,41.4948,-81.535
Japan,Uto,54,2,18,10,54,32.6828,130.6669
Russian Federation,Uzhur,33,1,29,0,33,55.3175,89.8225
France,Valence,54,1,47,0,54,44.9333,4.8917
Venezuela (Bolivarian Republic of),Valera,54,1,21,0,54,9.3206,-70.6078
Turkey,Van,62,1,43,0,62,38.4942,43.38
Italy,Vecchiano,80,1,80,0,37,43.7833,10.3833
Italy,Venaria Reale,78,1,57,0,78,45.1167,7.6333
Russian Federation,Verkhniy Tagil,41,1,41,0,19,57.3833,59.95
United States of America,Vicksburg,52,1,39,1,52,32.3173,-90.8868
United States of America,Vidor,31,0,25,1,31,30.1291,-93.9967
United States of America,Sarasota Springs,62,1,62,1,14,27.3087,-82.4746
United States of America,Schiller Park,61,1,28,6,61,41.9586,-87.8693
Germany,Schwieberdingen,66,1,58,0,66,48.8778,9.075
United States of America,Scottsbluff,39,1,23,1,39,41.8684,-103.6616
United States of America,Seaside,40,1,33,1,40,36.6224,-121.8199
Italy,Selvazzano Dentro,87,1,61,0,87,45.3833,11.7833
Russian Federation,Semikarakorsk,47,1,47,0,25,47.5167,40.8
Italy,Seriate,89,1,50,0,89,45.6847,9.7178
United States of America,Martinsville,55,1,45,1,55,36.6826,-79.8636
United States of America,Martinsville,55,1,45,1,55,40.603,-74.5751
United States of America,Martinsville,55,1,45,1,55,39.4149,-86.4316
United States of America,Marysville,44,1,40,1,44,48.0809,-122.1561
United States of America,Marysville,44,1,40,1,44,40.2279,-83.3595
United States of America,Marysville,44,1,40,1,44,39.1518,-121.5835
United States of America,Marysville,44,1,40,1,44,42.9084,-82.4806
Armenia,Masis,100,1,40,0,100,40.0633,44.4408
Democratic Republic of the Congo,Matadi,68,2,42,0,68,-5.8167,13.4833
Japan,Matsumoto,109,3,9,12,109,36.238,137.972
Belgium,Mechelen,51,1,37,2,51,51.0278,4.4806
Germany,Mechernich,55,1,47,0,55,50.6,6.65
Russian Federation,Meleuz,36,1,36,0,28,52.95,55.9333
United States of America,Mequon,51,1,26,1,51,43.2352,-87.9839
Philippines,Meycauayan,152,4,22,9,152,14.7333,120.95
Japan,Miharu,61,1,22,10,61,37.4406,140.4932
Russian Federation,Mikhaylovsk,49,1,49,1,29,45.1333,42.0333
Russian Federation,Mikhaylovsk,49,1,49,1,29,56.45,59.1333
United States of America,Millington,77,1,43,3,77,35.335,-89.8991
Brazil,Miracatu,59,1,21,2,59,-24.2808,-47.46
Mexico,Miramar,57,1,26,1,57,25.9773,-80.3351
Mexico,Miramar,57,1,26,1,57,22.3375,-97.8694
Mexico,Miramar,57,1,26,1,57,-38.2667,-57.8333
Pakistan,Mirpur Khas,156,1,30,2,156,25.5269,69.0111
Democratic Republic of the Congo,Moba,30,0,30,0,27,-7.0398,29.7661
Italy,Montemarciano,82,1,68,0,82,43.6333,13.3167
France,Montfermeil,69,1,46,1,69,48.9,2.5667
Brazil,Morrinhos,24,0,24,0,11,-17.7319,-49.1008
Brazil,Morrinhos,24,0,24,0,11,-3.2289,-40.125
Russian Federation,Mytishchi,37,1,30,8,37,55.9167,37.7667
Japan,Nabari,86,2,15,12,86,34.6276,136.1084
Philippines,Nagcarlan,86,2,24,8,86,14.1364,121.4165
China,Nangong,145,4,49,21,145,37.3606,115.3803
China,Nanyang,153,5,76,16,153,32.9987,112.5292
Costa Rica,Naranjo,53,1,25,0,53,10.1053,-84.3885
Thailand,Narathiwat,84,3,20,2,84,6.4167,101.8167
United States of America,Natchitoches,50,1,39,2,50,31.7315,-93.0975
United States of America,Needham,45,1,41,1,45,42.2814,-71.2411
Russian Federation,Neftekamsk,41,1,41,0,18,56.1417,54.4667
Russian Federation,Nelidovo,35,1,35,0,11,56.2167,32.8
United States of America,New Albany,50,1,50,1,27,38.309,-85.8234
United States of America,New Albany,50,1,50,1,27,40.0809,-82.7848
United States of America,New Milford,52,1,46,2,52,40.9337,-74.0196
United States of America,New Milford,52,1,46,2,52,41.6042,-73.4213
Germany,Niedernhausen,62,1,62,0,57,50.1617,8.3176
Germany,Niesky,50,1,43,0,50,51.3,14.8167
Japan,Ninohe,94,3,22,13,94,40.2713,141.3048
Japan,Ninomiya,71,1,32,7,71,35.2995,139.2555
Brazil,Nobres,42,1,12,0,42,-14.72,-56.3278
Russian Federation,Nolinsk,35,1,32,0,35,57.5667,49.9333
United States of America,North Bergen,54,1,40,4,54,40.7938,-74.0242
Mauritania,Nouakchott,166,1,22,0,166,18.0858,-15.9785
Russian Federation,Novomichurinsk,39,1,39,1,31,54.05,39.7167
Poland,Nowogard,40,1,40,0,17,53.6667,15.1167
Sri Lanka,Nuwara Eliya,105,2,10,7,105,6.9667,80.7667
United States of America,Oak Park,60,1,33,2,60,41.8872,-87.7899
United States of America,Oak Park,60,1,33,2,60,42.4649,-83.1824
United States of America,Oak Park,60,1,33,2,60,34.185,-118.7669
Denmark,Odense,43,1,43,0,14,55.3958,10.3886
Portugal,Odivelas,42,1,42,1,18,38.7903,-9.1797
Russian Federation,Olenegorsk,30,1,30,0,24,68.15,33.2833
Nigeria,Damaturu,98,2,46,0,98,11.7444,11.9611
Russian Federation,Danilov,32,1,32,0,10,58.1833,40.1667
Philippines,Dao,64,1,28,2,64,11.38,122.63
Mongolia,Darhan,33,1,33,0,19,49.4689,105.9575
Mongolia,Darhan,33,1,33,0,19,49.6167,106.35
Germany,Deggendorf,69,1,51,0,69,48.8333,12.9667
China,Dehui,156,4,45,8,156,44.5333,125.7
Germany,Denzlingen,67,1,54,0,67,48.0683,7.8825
Costa Rica,Desamparados,49,1,26,1,49,9.8967,-84.0706
Costa Rica,Desamparados,49,1,26,1,49,10.0315,-84.1877
Germany,Dillenburg,55,1,48,0,55,50.7333,8.2833
United States of America,Dinuba,51,1,22,4,51,36.5453,-119.3987
France,Dourdan,76,1,38,2,76,48.5289,2.0108
United States of America,Druid Hills,73,1,73,3,33,33.7842,-84.3272
Colombia,Duitama,22,0,14,0,22,5.8333,-73.0167
India,Dum Duma,72,2,8,5,72,27.5688,95.5566
France,Dunkirk,35,1,35,0,31,42.4801,-79.3324
United States of America,Dunwoody,69,1,69,3,29,33.9418,-84.3122
Nigeria,Dutse,90,2,61,0,90,11.8283,9.3158
Japan,Ebetsu,50,1,29,6,50,43.1037,141.5362
United States of America,Edison,50,1,41,3,50,40.536,-74.3697
Spain,El Escorial,41,0,41,0,8,40.5817,-4.1258
Mexico,El Salto,58,1,28,0,58,23.7823,-105.3585
Russian Federation,Elektrogorsk,39,1,39,2,27,55.8833,38.8
Cuba,Encrucijada,35,1,35,0,29,22.6169,-79.8661
United States of America,Ephrata,47,1,47,1,36,40.1811,-76.1812
Denmark,Esbjerg,40,1,40,0,22,55.4833,8.45
Italy,Fagnano Olona,96,1,64,0,96,45.6667,8.8667
United States of America,Ferndale,55,1,34,1,55,42.4592,-83.1313
United States of America,Ferndale,55,1,34,1,55,39.1869,-76.6331
United States of America,Ferndale,55,1,34,1,55,48.8526,-122.5894
Ethiopia,Finote Selam,79,1,18,0,79,10.7,37.2667
Guatemala,Flores,62,1,22,0,62,16.9333,-89.8833
Guatemala,Flores,62,1,22,0,62,-7.8658,-37.975
United States of America,Forest Grove,63,1,31,3,63,45.5243,-123.1097
,Fort Myers,35,0,35,0,22,26.6194,-81.8302
Japan,Fujimi,85,2,25,19,85,35.8566,139.5492
Japan,Fujimi,85,2,25,19,85,35.9146,138.2407
Japan,Fukuyama,52,1,44,3,52,34.4833,133.3667
Bulgaria,Gabrovo,46,1,46,0,42,42.8667,25.3333
Congo,Gamboma,61,2,21,0,61,-1.8764,15.8644
Brazil,Gaspar,51,1,19,2,51,-26.9308,-48.9589
United States of America,Gautier,51,1,42,1,51,30.4106,-88.6568
Germany,Gelnhausen,60,1,56,0,60,50.2,9.1667
Democratic Republic of the Congo,Gemena,58,1,12,0,58,3.25,19.7667
Germany,Gersthofen,67,1,56,0,67,48.4167,10.8667
Sri Lanka,Weligama,47,1,17,2,47,5.9739,80.4294
Germany,Werdau,53,1,48,0,53,50.7333,12.3833
United States of America,West Caldwell,51,1,46,2,51,40.8488,-74.2971
United States of America,West Pensacola,48,2,48,4,42,30.4263,-87.2679
United States of America,West University Place,30,0,26,1,30,29.7157,-95.4321
United States of America,Westchester,34,1,34,1,30,25.7471,-80.3523
United States of America,Westchester,34,1,34,1,30,41.8492,-87.8906
Germany,Wiehl,54,1,47,0,54,50.95,7.5333
United States of America,Wildomar,58,2,22,9,58,33.6173,-117.2582
United States of America,Winder,46,1,46,3,38,33.9917,-83.7218
United States of America,Winslow,60,1,31,1,60,39.7027,-74.9029
United States of America,Winslow,60,1,31,1,60,35.0243,-110.7095
Switzerland,Wohlen,57,1,52,0,57,47.3506,8.2778
Germany,Wolmirstedt,45,1,45,0,30,52.2519,11.6297
United States of America,Woodstock,64,1,64,3,26,43.1306,-80.7467
United States of America,Woodstock,64,1,64,3,26,34.1026,-84.5091
United States of America,Woodstock,64,1,64,3,26,42.3096,-88.4353
United States of America,Wyandotte,61,1,36,1,61,42.2113,-83.1558
United States of America,Xenia,45,1,45,1,42,39.6829,-83.9413
Turkey,Yalova,63,1,53,1,63,40.6556,29.275
India,Yanam,119,3,44,4,119,16.7333,82.2167
China,Yangshe,207,11,3,49,207,31.8775,120.5512
Spain,Armilla,27,1,27,1,24,37.15,-3.6167
Spain,Arrigorriaga,38,1,38,1,16,43.2078,-2.8861
United States of America,Ashwaubenon,30,1,30,3,29,44.4796,-88.0889
Indonesia,Atambua,28,1,22,0,28,-9.1061,124.8925
Argentina,Azul,34,0,17,0,34,-36.7833,-59.85
Turkey,Zile,46,1,46,0,24,40.3,35.8833
Spain,Bueu,22,1,21,2,22,42.3167,-8.7833
United Republic of Tanzania,Bugarama,45,1,20,0,45,-2.6972,29.0083
Germany,Burg,59,1,36,2,59,52.2725,11.855
United States of America,Burkburnett,35,1,35,1,33,34.0746,-98.5672
United States of America,Burlington,51,1,22,9,51,43.3167,-79.8
United States of America,Burlington,51,1,22,9,51,36.076,-79.4685
United States of America,Burlington,51,1,22,9,51,44.4876,-73.2316
United States of America,Burlington,51,1,22,9,51,42.5022,-71.2027
United States of America,Burlington,51,1,22,9,51,40.8071,-91.1247
United States of America,Burlington,51,1,22,9,51,40.0641,-74.8394
United States of America,Burlington,51,1,22,9,51,39.0223,-84.7217
United States of America,Burlington,51,1,22,9,51,42.6744,-88.2721
United States of America,Burlington,51,1,22,9,51,48.4676,-122.3298
United States of America,Burlington,51,1,22,9,51,41.7598,-72.959
Mexico,Cadereyta,84,2,11,6,84,20.7,-99.8167
Brazil,Cajamar,78,2,3,7,78,-23.3558,-46.8769
Venezuela (Bolivarian Republic of),Cantaura,134,1,20,1,134,9.3005,-64.3564
United States of America,Carpentersville,58,1,18,14,58,42.1227,-88.2896
Italy,Carpi,60,1,44,2,60,44.7833,10.8833
Ireland,Carrigaline,33,1,33,2,22,51.8166,-8.3905
United States of America,Carver,33,1,31,8,33,41.8739,-70.7563
United States of America,Cayce,71,2,25,9,71,33.9459,-81.0429
Brazil,Chapadinha,56,1,9,1,56,-3.7419,-43.36
Portugal,Chaves,14,1,12,3,14,41.7406,-7.4714
Portugal,Chaves,14,1,12,3,14,-0.16,-49.9878
United States of America,Chelsea,46,1,29,8,46,42.3959,-71.0325
United States of America,Chelsea,46,1,29,8,46,33.3262,-86.63
United States of America,Chicago,64,2,12,20,64,41.8375,-87.6866
Brazil,Chopinzinho,37,1,5,2,37,-25.8558,-52.5228
Indonesia,Cirebon,71,2,53,0,71,-6.7071,108.5574
United States of America,Clarksville,77,3,8,31,77,36.5692,-87.3413
United States of America,Clarksville,77,3,8,31,77,38.322,-85.7673
United States of America,Clarksville,77,3,8,31,77,35.457,-93.4803
Germany,Coburg,59,1,36,4,59,50.2667,10.9667
United States of America,Cohoes,63,2,25,7,63,42.7732,-73.7077
United States of America,Colton,85,3,6,22,85,34.0538,-117.3255
Mexico,Comalcalco,142,2,13,3,142,18.2801,-93.2018
Italy,Concordia Sagittaria,74,1,32,4,74,45.7667,12.85
United States of America,Conyers,93,3,8,30,93,33.6646,-83.9966
Brazil,Cruz Alta,20,1,9,2,20,-28.6386,-53.6064
Malaysia,Cukai,93,1,38,0,93,4.2332,103.4479
Brazil,Cupira,37,0,9,2,37,-8.6169,-35.95
Brazil,Curitibanos,17,0,17,0,17,-27.2828,-50.5839
Senegal,Dakar,166,1,21,2,166,14.6928,-17.4467
India,Davorlim,73,0,25,0,73,15.2722,73.9924
China,Dayong,130,2,130,0,74,22.4707,113.2854
United States of America,Delaware,42,1,42,3,26,40.2851,-83.0741
Netherlands,Den Helder,38,0,38,0,36,52.9333,4.75
Belgium,Denderleeuw,44,1,27,4,44,50.8833,4.0833
United States of America,Derry,30,1,30,4,23,54.9917,-7.3417
United States of America,Derry,30,1,30,4,23,42.8888,-71.2804
United States of America,Derry,30,1,30,4,23,40.2709,-76.6561
Brazil,Diadema,137,3,4,15,137,-23.6861,-46.6106
Poland,Dobre Miasto,37,0,33,0,37,53.9875,20.3958
Ukraine,Donetsk,37,1,37,0,14,48.0028,37.8053
Ukraine,Donetsk,37,1,37,0,14,48.3333,39.9333
Chad,Dourbali,57,2,17,0,57,11.805,15.8647
France,Draveil,57,1,20,6,57,48.6852,2.408
United States of America,East Liverpool,43,1,43,4,35,40.6333,-80.5677
Germany,Eisenach,51,1,24,4,51,50.9761,10.3206
Mexico,El Rosario,110,2,11,3,110,22.9922,-105.8572
Mexico,El Rosario,110,2,11,3,110,13.5,-89.0333
Nicaragua,El Viejo,86,1,18,3,86,12.6631,-87.1694
Spain,Elda,31,1,31,1,21,38.4789,-0.7967
Belgium,Charleroi,58,1,25,5,58,50.4,4.4333
United States of America,Cheney,32,1,32,1,28,47.4901,-117.579
Zimbabwe,Chipinge,41,2,13,0,41,-20.2,32.62
United States of America,Clemson,65,2,34,7,65,34.6837,-82.8124
United States of America,Cliffside Park,119,3,10,33,119,40.8222,-73.9879
Canada,Cobourg,30,1,30,2,26,43.9667,-78.1667
United States of America,Collingswood,73,1,37,5,73,39.916,-75.0758
Uruguay,Colonia,52,1,11,3,52,9.5167,138.1333
Uruguay,Colonia,52,1,11,3,52,40.5926,-74.3148
United States of America,Columbia Heights,52,1,42,3,52,45.0484,-93.2472
United States of America,Cordele,58,2,29,3,58,31.9563,-83.7694
Italy,Cori,39,2,39,6,39,41.6445,12.9127
Italy,Cornedo Vicentino,59,2,36,5,59,45.6167,11.35
Brazil,Corrente,54,1,12,1,54,-10.4428,-45.1619
Germany,Coswig,67,1,40,1,67,51.1333,13.5833
Germany,Coswig,67,1,40,1,67,51.8833,12.4333
Germany,Crimmitschau,69,1,37,2,69,50.8181,12.3875
United States of America,Crofton,51,1,42,4,51,39.0144,-76.68
Spain,Cullera,34,1,30,1,34,39.1639,-0.2517
Colombia,Dagua,39,1,9,3,39,3.6667,-76.7
Germany,Alsfeld,64,1,35,2,64,50.7511,9.2711
Madagascar,Ambatondrazaka,20,0,20,0,12,-17.8256,48.4289
Italy,Amelia,60,1,36,3,60,42.55,12.4167
Italy,Amelia,60,1,36,3,60,39.0269,-84.2218
Brazil,Amontada,39,0,20,0,39,-3.3608,-39.8308
Italy,Anagni,56,1,38,4,56,41.7422,13.1583
France,Angers,32,1,18,4,32,47.4736,-0.5542
Colombia,Anserma,88,3,1,6,88,5.2381,-75.784
Madagascar,Antsirabe,52,1,22,0,52,-19.8667,47.0333
,Anzio,48,1,39,6,48,41.4472,12.6283
Italy,Aosta,87,0,28,1,87,45.7333,7.3167
United States of America,Apache Junction,48,1,21,12,48,33.3985,-111.535
United States of America,Apopka,71,1,8,17,71,28.7015,-81.5316
Brazil,Aracati,22,0,21,0,22,-4.5619,-37.77
India,Arani,61,0,26,0,61,13.3346,80.0848
Colombia,Arauca,52,1,8,1,52,7.0903,-70.7617
Portugal,Estoril,36,1,36,5,17,38.7042,-9.3983
Brazil,Extrema,78,2,11,5,78,-22.855,-46.3178
United States of America,Fall River,57,2,23,14,57,41.7136,-71.1015
United Kingdom of Great Britain and Northern Ireland,Farnworth,58,1,26,7,58,53.5452,-2.3999
Chad,Faya,156,1,29,0,156,17.9169,19.1167
Italy,Ferrara,68,2,27,10,68,44.8333,11.6167
Brazil,Floriano,14,0,14,0,13,-6.7669,-43.0228
United States of America,Flowing Wells,65,1,21,6,65,32.2937,-111.011
France,Fontainebleau,66,1,20,4,66,48.4089,2.7017
United States of America,Bell Gardens,123,4,3,41,123,33.9663,-118.155
United States of America,Bellefontaine Neighbors,54,1,40,4,54,38.7529,-90.228
India,Belonia,74,4,39,2,74,23.25,91.45
Somalia,Berbera,90,1,24,0,90,10.4356,45.0164
Brazil,Betim,91,2,4,9,91,-19.9678,-44.1978
Ukraine,Bilopillya,36,1,36,0,10,51.1474,34.3025
Belgium,Binche,57,1,25,5,57,50.4,4.1667
United States of America,Bolingbrook,41,2,30,9,41,41.6901,-88.1021
France,Bondues,45,1,26,5,45,50.7017,3.0933
Italy,Bra,104,2,22,6,104,44.7,7.85
Austria,Bregenz,41,1,30,5,41,47.505,9.7492
United Kingdom of Great Britain and Northern Ireland,Brighton,28,1,28,4,22,50.8208,-0.1375
