country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Philippines,Lianga,50,1,20,0,50,8.633,126.0932
France,Libourne,46,1,26,2,46,44.92,-0.24
Czechia,Litovel,49,1,24,2,49,49.7012,17.0762
Belgium,Lokeren,31,0,31,2,31,51.1,3.9833
Belgium,Londerzeel,34,0,29,3,34,51.0,4.3
Senegal,Louga,176,2,21,3,176,15.6167,-16.2167
Poland,Lubin,35,1,20,3,35,51.4,16.2
Poland,Lublin,32,1,32,1,28,51.25,22.5667
Philippines,Lucena,32,1,29,0,32,13.9333,121.6167
Philippines,Lucena,32,1,29,0,32,37.4,-4.4833
Philippines,Lucena,32,1,29,0,32,10.8833,122.6
Philippines,Lucena,32,1,29,0,32,-6.9,-34.8689
